,0
2013-03-31,15.053590791407451
2013-06-30,14.937981495819404
2013-09-30,14.997660251378978
2013-12-31,15.254515098665935
2014-03-31,15.264405554734164
2014-06-30,15.51165659604613
2014-09-30,15.532566246406011
2014-12-31,14.988225100672064
2015-03-31,14.445327704394684
2015-06-30,14.53595041936224
2015-09-30,14.400971794845654
2015-12-31,14.299133820777914
2016-03-31,14.288455138878534
2016-06-30,14.755595717504786
2016-09-30,14.87932492531825
2016-12-31,14.74753892342992
2017-03-31,14.92429692996128
2017-06-30,15.263833016132937
2017-09-30,15.832376478652186
2017-12-31,16.035571123081553
2018-03-31,16.705888183385852
2018-06-30,16.543189619358245
2018-09-30,16.08540891161395
2018-12-31,15.964125154491624
2019-03-31,16.134486770682923
2019-06-30,16.11292087302238
2019-09-30,16.223649167782632
2019-12-31,16.425136327004253
2020-03-31,16.03746937909516
2020-06-30,15.156111096749244
2020-09-30,16.545983290128714
2020-12-31,17.181381930021377
2021-03-31,17.741913232637927
2021-06-30,18.06847568584585
2021-09-30,18.207515992341985
2021-12-31,18.05810344078223
2022-03-31,18.719306743086957
2022-06-30,18.4114199821725
2022-09-30,18.077628513577736
2022-12-31,18.01230682140988
2023-03-31,18.791949722393383
2023-06-30,18.82331868962134
2023-09-30,18.849147126138103
2023-12-31,18.903981115607028
2024-03-31,19.23189108728548
2024-06-30,19.19163250138744
2024-09-30,19.55945965624332
2024-12-31,19.527970605596643
2025-03-31,19.616950635286024
2025-06-30,20.20346061764235
2025-09-30,20.635738048625555
2025-12-31,20.807200485775816
2026-03-31,21.409943627292193
2026-06-30,20.74209582717397
