,EQ,GOV,IG,SEC,GOLD,EMD,ILB,HY
1975,24.858084963705362,38.365225964310554,26.03284286100272,4.961400621717,5.78244558926435,0.0,0.0,0.0
1976,25.628923740454194,38.7768011973362,25.634514403651437,4.952893396351516,5.006867262206656,0.0,0.0,0.0
1977,23.786829300976592,38.625893431970084,26.505210940907958,5.3852443226856215,5.696822003459738,0.0,0.0,0.0
1978,23.473621994135485,37.55452227383556,26.122480911894396,5.936687841662697,6.912686978471871,0.0,0.0,0.0
1979,24.211849298948028,32.68329333026463,23.732735742355306,6.199650617230317,13.172471011201731,0.0,0.0,0.0
1980,26.619002582675673,31.821313522969774,22.42174469562341,6.323279687603497,12.81465951112765,0.0,0.0,0.0
1981,23.896766272907307,34.42942517112699,25.14317415940438,7.568381084928875,8.544082155707818,0.0,0.4181711559246193,0.0
1982,23.837071272889496,35.61543608161563,23.96985369670135,7.745939373767199,8.39912342828606,0.0,0.4325761467402708,0.0
1983,25.743548853472763,36.60334593559866,22.798656558554736,8.069001134104482,6.340872466419972,0.0,0.44457505184937646,0.0
1984,23.139059625518403,38.76496900356455,21.574316767767137,8.862503794875579,4.759424635486441,0.0,0.47082958303924566,2.4288965897486183
1985,26.489083820183485,37.52584870538293,20.554911922600038,8.556167397282,4.104079458770762,0.0,0.45577953893177653,2.314129156849011
1986,29.793357548078962,34.42668411282895,20.260466848079954,8.737833046797967,4.082540869122359,0.0,0.4181378637185702,2.2809797113732393
1987,31.047206281838474,32.511870113046484,20.13532283870316,9.154716883887048,4.489112218291131,0.0,0.3948810135187832,2.266890650714925
1988,33.37645210425527,31.295933566998674,20.117598960405182,9.1588201243023,3.406187443395303,0.0,0.38011255344532807,2.2648952471979342
1989,35.9649117870113,29.608058469952176,19.57799969643389,9.29423490800476,2.991037431216192,0.0,0.35961204619375114,2.2041456611879213
1990,28.65526297286743,33.139561443672946,21.614728277337004,10.887435858043512,2.867060423317802,0.0,0.40250479486242446,2.4334462298988684
1991,30.553692067716458,32.939264472990445,20.78463918251504,10.625728957402274,2.3566107904955667,0.0,0.40007203813348724,2.339992490746727
1992,28.55992488377582,33.89276260753643,21.432173712034384,11.080992343822006,2.2095997365258433,0.0,0.41165298713607007,2.4128937291694337
1993,32.30411345099809,31.859483480098653,20.645318739467157,10.160898672668095,2.31892095978146,0.0,0.3869572892319675,2.324307407754581
1994,31.03420464843738,32.0607564240367,21.248556208512685,10.772352705725002,2.102506553502367,0.0,0.3894018998870854,2.392221559898779
1995,32.33295878731852,30.60813953343084,20.791584104878176,10.544153592978981,1.9064262876248679,1.1042045445869733,0.37175877975826926,2.3407743694233707
1996,34.242751892832516,29.052242694347584,20.416487098193304,10.417154214806951,1.7093746000440904,1.5105833473811736,0.35286124729976825,2.2985449050946105
1997,36.60848419966881,24.824180510765554,20.637594419550954,10.631003326304713,1.306581565184362,1.4119745133951962,2.256743682796868,2.3234377823335515
1998,36.92101219900986,23.6575711573868,21.082524987347,11.289357254364177,1.1937350377362381,1.3315817739095175,2.1506882870351633,2.3735293032112517
1999,42.40819968329023,20.634603275742332,19.599557089433965,11.0049160741531,1.042763344331611,1.2275148555284467,1.8758730250674844,2.206572652452831
2000,40.54854791806991,20.156041154101473,20.6276519867593,11.947304306687663,1.018270583881189,1.5474982372594566,1.832367377645588,2.3223184355954176
2001,36.21234190020301,20.23591922751493,22.677124824751616,13.466358191861078,1.0835788827427202,1.9319941640263918,1.8396290206831751,2.5530537882170696
2002,29.704059054592058,22.63906857127847,24.51762105849798,14.794047477754033,1.3173626863807089,2.2094820351799696,2.058097142843497,2.7602619734732823
2003,33.0571258401296,22.017183587464295,23.089767966976588,13.512341453023478,1.330916836761037,2.3915918704121792,2.001562144314936,2.599510300917894
