date,GMP指数(規約準拠),株債 60/40,株/金 50/50,株/債/金 1/3ずつ
1976-01-31,0.032933670805782515,0.061276065335105136,0.001111730111608894,0.007020796815135094
1976-02-29,0.014197486914936462,0.004822388771409267,0.012987659961314457,0.015154245299848044
1976-03-31,0.009586135494787162,0.010202095262574146,-0.002866528578691476,5.187544065596208e-05
1976-04-30,0.007591948051582379,-0.0012864547224146101,-0.007591646041165452,-0.003334341552545701
1976-05-31,-0.007954924288540503,-0.013721477789888656,-0.019024599723326627,-0.01597473481282379
1976-06-30,0.008559883712721561,0.01852136573041346,0.01227523624700256,0.007161520480055799
1976-07-31,0.00025022489681404345,-0.003640775487457959,-0.04595912082046206,-0.028375432283434816
1976-08-31,0.010612475830869484,0.006494944964342766,-0.03594431421788965,-0.016423105125721982
1976-09-30,0.019826206401648235,0.010531953675034157,0.05619878329519015,0.040273974110263636
1976-10-31,0.0011440595671590144,-0.018662416913380265,0.003951396752664187,0.0037800980550996705
1976-11-30,0.0193507791432816,0.011574194870828355,0.02752215199350956,0.029033892639271707
1976-12-31,0.03879179658222397,0.056633626324721076,0.05799367992256406,0.04616505398352155
1977-01-31,-0.006586850195484281,-0.018332608786136916,-0.02409296261342725,-0.0163506085985388
1977-02-28,0.005810697339901007,0.0011695221391188108,0.03740091414086561,0.026949083935002175
1977-03-31,0.009244813823403565,0.0045945494539890355,0.02634614562558076,0.022697911909659724
1977-04-30,0.011098882176910574,0.013724899109466504,-0.005063717242980654,0.0007581997041546783
1977-05-31,0.004627446020677012,0.0001527366272496191,-0.01670596876118348,-0.006169760553822319
1977-06-30,0.01877488029267706,0.028318139014844573,0.019174005078315088,0.015763405583566523
1977-07-31,0.0038230176676318913,-0.0019332242606288292,0.0012965600423921276,0.0035008775505336568
1977-08-31,0.010429553599965146,0.011466541189703815,0.009345661592450028,0.011610024720777696
1977-09-30,0.014151454837175939,0.014610809841607928,0.036136876592116715,0.027746127212391405
1977-10-31,0.0013295481266189775,-0.0030245269781276267,0.018039183065017513,0.015116128820999306
1977-11-30,0.009168639017931515,0.015457941950133728,0.004567215342772655,0.007366996733665129
1977-12-31,0.013238405566757082,0.020386024314552477,0.03079048635803463,0.025414706945121976
1978-01-31,-0.0028420361400483146,-0.01072753045920528,0.0163252216222241,0.014604157989631036
1978-02-28,0.006093663376978055,0.0023204975410559743,0.018903026792550265,0.015809643743934062
1978-03-31,0.014221667700334673,0.03104829042060622,0.020043950092043815,0.014517619161562263
1978-04-30,0.00512391269293961,0.02727733613627425,-0.006972148132780059,-0.006468580684960968
1978-05-31,0.0019050206855286203,0.0057175736142799655,0.051983905840983155,0.030626507818579445
1978-06-30,0.0035556248788990736,0.010209723860176835,0.002824593258015027,0.002629094904496949
1978-07-31,0.03202975046121451,0.05489740946601579,0.08174109914435142,0.06154491218496978
1978-08-31,0.026132853787813604,0.027356487313955943,0.035720978290163276,0.03226728407215709
1978-09-30,0.012268860182720942,0.01260994629012309,0.03321409182229819,0.024714393656618688
1978-10-31,0.005228144912662172,-0.005984860694190516,0.05391970537093546,0.041682264232939636
1978-11-30,-0.029221316178549495,-0.022531416655520484,-0.12627223552602426,-0.09226182548506803
1978-12-31,0.018792635439757746,0.022823472635097382,0.09661706414723809,0.06724640199406072
1979-01-31,0.014705915591302092,0.024420239225529862,0.0335116641574862,0.028221960893798102
1979-02-28,0.0016049465479263947,-0.01338871903100454,0.03042755208524279,0.017353132744322174
1979-03-31,0.015813104909865726,0.03728260644417439,-0.002674593637886951,0.0069739290212541515
1979-04-30,0.004355645298400304,0.0019303618622076774,0.00862690993001153,0.0067360429839292335
1979-05-31,0.007941980802037328,-0.006652706439601829,0.06306020725763084,0.04405092870358714
1979-06-30,0.018268290043995567,0.022582293815466295,0.013059778220733943,0.011849209571506357
