,capital_avg_bn,gdp_bn,ltr_bn,cash_bn,val_bn,rest_bn,needed_bn,ltr_pct_gdp,cash_pct_gdp,val_pct_gdp,rest_pct_gdp,needed_pct_gdp,price_pct_gdp,net_pct_gdp,needed_gdp_pct_gdp,net_gdp_pct_gdp
2011,117708.685,74388.644,4665.477,3956.099,-89.356,798.735,4931.797,6.272,5.318,-0.12,1.074,6.63,0.954,-0.358,16.804,-10.533
2012,119511.573,76055.253,10961.423,3456.877,-385.104,7889.65,4441.627,14.412,4.545,-0.506,10.374,5.84,9.867,8.572,3.482,10.931
2013,124759.544,78171.001,3831.679,3695.988,2772.869,-2637.178,1025.627,4.902,4.728,3.547,-3.374,1.312,0.174,3.59,4.379,0.523
2014,125781.895,80243.544,5721.181,3612.358,6465.436,-4356.612,-5058.795,7.13,4.502,8.057,-5.429,-6.304,2.628,13.434,4.102,3.028
2015,122004.185,75839.352,-2890.256,3227.128,-2995.255,-3122.128,-5822.752,-3.811,4.255,-3.949,-4.117,-7.678,-8.066,3.867,-9.081,5.27
2016,120610.458,77084.966,6325.459,3084.72,-1611.689,4852.427,2368.062,8.206,4.002,-2.091,6.295,3.072,4.204,5.134,2.549,5.657
2017,129967.769,82110.105,16275.445,3443.119,6878.419,5953.907,12301.002,19.821,4.193,8.377,7.251,14.981,15.628,4.84,9.996,9.825
2018,135469.544,87310.84,-7243.454,3733.667,-2584.175,-8392.946,-192.7,-8.296,4.276,-2.96,-9.613,-0.221,-12.572,-8.075,9.529,-17.825
2019,138164.104,88796.498,21987.076,3548.849,1680.343,16757.884,4493.914,24.761,3.997,1.892,18.872,5.061,20.765,19.7,2.625,22.136
2020,153474.077,86388.503,18096.76,3056.34,17075.998,-2035.578,12700.636,20.948,3.538,19.767,-2.356,14.702,17.41,6.246,-4.884,25.832
2021,169522.343,98780.038,9530.296,3279.942,-3424.664,9675.017,6571.341,9.648,3.32,-3.467,9.795,6.652,6.328,2.995,23.004,-13.356
2022,170252.225,102862.471,-33316.524,4973.541,-15940.461,-22349.604,761.072,-32.389,4.835,-15.497,-21.728,0.74,-37.225,-33.129,6.703,-39.092
2023,172979.568,107348.614,20878.715,5651.401,-3604.929,18832.243,6349.294,19.449,5.265,-3.358,17.543,5.915,14.185,13.535,6.879,12.571
2024,187712.149,111669.432,14416.25,6079.345,5623.702,2713.203,2881.603,12.91,5.444,5.036,2.43,2.58,7.466,10.329,6.633,6.276
2025,212908.402,118350.166,31764.659,6859.14,11300.118,13605.402,18153.674,26.84,5.796,9.548,11.496,15.339,21.044,11.501,10.453,16.387
