,usd_per_hour,reinvested_hours,spent_value_hours,dist_12m_hours,dist_12m_usd_idx,dist_12m_real_idx,dist_12m_hours_idx
1976-12-31,2.1,10732.0,9988.7,709.4,100.0,100.0,100.0
1981-12-31,3.4,9625.1,5996.6,634.8,149.1,93.4,89.5
1990-12-31,5.9,19745.8,6073.1,436.5,173.7,75.7,61.5
2000-12-31,7.6,38717.7,7087.1,325.7,177.0,58.5,45.9
2008-12-31,12.1,36254.0,4785.2,212.7,195.2,51.6,30.0
2021-12-31,18.3,56389.4,5138.6,99.6,129.0,27.1,14.0
2026-06-30,21.6,58036.1,4588.0,142.3,215.3,37.4,20.1
