date,v
1950-01-01,2.1858491897583
1951-01-01,2.18731904029846
1952-01-01,2.19099903106689
1953-01-01,2.19727897644043
1954-01-01,2.20235896110535
1955-01-01,2.2072389125824
1956-01-01,2.2110390663147
1957-01-01,2.21208906173706
1958-01-01,2.20942902565002
1959-01-01,2.20597910881043
1960-01-01,2.20219874382019
1961-01-01,2.24409079551697
1962-01-01,2.23486065864563
1963-01-01,2.24345850944519
1964-01-01,2.24253106117249
1965-01-01,2.26866006851196
1966-01-01,2.27300882339478
1967-01-01,2.23123073577881
1968-01-01,2.20208883285522
1969-01-01,2.23538160324097
1970-01-01,2.28286743164063
1971-01-01,2.26754331588745
1972-01-01,2.28831481933594
1973-01-01,2.33124709129334
1974-01-01,2.3390326499939
1975-01-01,2.32839560508728
1976-01-01,2.30712223052979
1977-01-01,2.26522898674011
1978-01-01,2.24409580230713
1979-01-01,2.29321932792664
1980-01-01,2.36000633239746
1981-01-01,2.39874410629272
1982-01-01,2.41367602348328
1983-01-01,2.4062991142273
1984-01-01,2.41421723365784
1985-01-01,2.42603802680969
1986-01-01,2.41692495346069
1987-01-01,2.44096064567566
1988-01-01,2.44869899749756
1989-01-01,2.4777410030365
1990-01-01,2.46847176551819
1991-01-01,2.33176970481873
1992-01-01,2.17615103721619
1993-01-01,2.05116486549377
1994-01-01,2.0175507068634
1995-01-01,2.05873703956604
1996-01-01,2.09353542327881
1997-01-01,2.16463994979858
1998-01-01,2.20780777931213
1999-01-01,2.25329399108887
2000-01-01,2.2997875213623
2001-01-01,2.33547353744507
2002-01-01,2.36436176300049
2003-01-01,2.36996603012085
2004-01-01,2.38246250152588
2005-01-01,2.41887784004211
2006-01-01,2.46436095237732
2007-01-01,2.51889038085938
2008-01-01,2.57507419586182
2009-01-01,2.50976514816284
2010-01-01,2.49096274375916
2011-01-01,2.52865815162659
2012-01-01,2.5441722869873
2013-01-01,2.52381086349487
2014-01-01,2.50961136817932
2015-01-01,2.51762652397156
2016-01-01,2.53206396102905
2017-01-01,2.54737663269043
2018-01-01,2.61336588859558
2019-01-01,2.65216207504272
2020-01-01,2.58947658538818
2021-01-01,2.6494824886322
2022-01-01,2.74890518188477
2023-01-01,2.77818250656128
