date,v
1950-01-01,1.97277426719666
1951-01-01,1.99573385715485
1952-01-01,1.97693419456482
1953-01-01,2.02078342437744
1954-01-01,2.03840303421021
1955-01-01,2.03236317634583
1956-01-01,2.02127408981323
1957-01-01,2.02543377876282
1958-01-01,2.03216409683228
1959-01-01,2.07175064086914
1960-01-01,2.11055183410645
1961-01-01,2.14137983322144
1962-01-01,2.17426013946533
1963-01-01,2.20097970962524
1964-01-01,2.24618983268738
1965-01-01,2.28728866577148
1966-01-01,2.32633805274963
1967-01-01,2.32646799087524
1968-01-01,2.34415745735168
1969-01-01,2.38946533203125
1970-01-01,2.42134475708008
1971-01-01,2.41779685020447
1972-01-01,2.46634674072266
1973-01-01,2.49710822105408
1974-01-01,2.47699308395386
1975-01-01,2.44449067115784
1976-01-01,2.48609042167664
1977-01-01,2.48040390014648
1978-01-01,2.5013256072998
1979-01-01,2.52978920936584
1980-01-01,2.51526498794556
1981-01-01,2.47578859329224
1982-01-01,2.48696064949036
1983-01-01,2.48878121376038
1984-01-01,2.52478432655334
1985-01-01,2.58350610733032
1986-01-01,2.64664149284363
1987-01-01,2.666588306427
1988-01-01,2.65376234054565
1989-01-01,2.64528441429138
1990-01-01,2.63412857055664
1991-01-01,2.60833024978638
1992-01-01,2.58729338645935
1993-01-01,2.54461145401001
1994-01-01,2.59577536582947
1995-01-01,2.61318349838257
1996-01-01,2.6379337310791
1997-01-01,2.67413902282715
1998-01-01,2.71229481697083
1999-01-01,2.73507833480835
2000-01-01,2.75539684295654
2001-01-01,2.78291058540344
2002-01-01,2.78403902053833
2003-01-01,2.75885486602783
2004-01-01,2.7445855140686
2005-01-01,2.78331160545349
2006-01-01,2.84591889381409
2007-01-01,2.91267490386963
2008-01-01,2.94904375076294
2009-01-01,2.85626459121704
2010-01-01,2.78975081443787
2011-01-01,2.7865891456604
2012-01-01,2.76736116409302
2013-01-01,2.76891231536865
2014-01-01,2.7860586643219
2015-01-01,2.82740926742554
2016-01-01,2.87276339530945
2017-01-01,2.91630005836487
2018-01-01,2.96140289306641
2019-01-01,3.00260376930237
2020-01-01,2.97140026092529
2021-01-01,3.04005861282349
2022-01-01,3.15804839134216
2023-01-01,3.20203399658203
